model_1   -C  -E  -n3   -o3   -S2   		0.42	
model_1   -C  -E  -n3   -o4   -S0   		0.45	
model_1   -C  -E  -n3   -o4   -S1   		1.22	
model_1   -C  -E  -n3   -o4   -S2   		0.04	
model_1   -C  -E  -n4   -o0   -S0   		Command terminated by signal 15 22.79	
model_1   -C  -E  -n4   -o0   -S1   		Command terminated by signal 15 0.94	
model_1   -C  -E  -n4   -o0   -S2   		Command terminated by signal 15 0.98	
model_1   -C  -E  -n4   -o1   -S0   		Command terminated by signal 15 1.09	
model_1   -C  -E  -n4   -o1   -S1   		Command terminated by signal 15 2.70	
model_1   -C  -E  -n4   -o1   -S2   		Command terminated by signal 15 1.69	
model_1   -C  -E  -n4   -o2   -S0   		7.02	
model_1   -C  -E  -n4   -o2   -S1   		0.07	
model_1   -C  -E  -n4   -o2   -S2   		0.12	
model_1   -C  -E  -n4   -o3   -S0   		0.49	
model_1   -C  -E  -n4   -o3   -S1   		0.50	
model_1   -C  -E  -n4   -o3   -S2   		0.46	
model_1   -C  -E  -n4   -o4   -S0   		4.84	
model_1   -C  -E  -n4   -o4   -S1   		53.72	
model_1   -C  -E  -n4   -o4   -S2   		1.85	


model_2      -E  -n0   -o0   -S0   		3.90	
model_2      -E  -n0   -o0   -S1   		
